"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	3.8708	2.9326	2.3125	1.9857	1.7867	1.6337	1.5118	1.4131	1.3375	1.2757	1.2294	1.1974	1.1773	1.176	1.1883	1.2066	1.2315
"Albania"	8	1.5986	1.488	1.3921	1.3193	1.276	1.2611	1.2641	1.2866	1.3191	1.354	1.387	1.4176	1.4439	1.4669	1.4861	1.5033	1.5201
"Algeria"	12	2.3267	2.0739	1.8921	1.7541	1.6476	1.5644	1.5073	1.4646	1.4491	1.4456	1.457	1.4772	1.4977	1.5183	1.5355	1.5508	1.5638
"Angola"	24	5.5018	4.8831	4.2876	3.7316	3.2551	2.8678	2.5669	2.3385	2.1628	2.026	1.91	1.8169	1.7482	1.6884	1.6342	1.5972	1.5622
"Antigua and Barbuda"	28	1.8093	1.6735	1.5714	1.4965	1.4472	1.4182	1.4088	1.4082	1.4111	1.4244	1.4396	1.4518	1.469	1.4838	1.496	1.5093	1.522
"Argentina"	32	2.0378	1.8849	1.7647	1.673	1.5965	1.5416	1.5022	1.4719	1.4542	1.4459	1.444	1.4454	1.4517	1.4621	1.4703	1.4798	1.4874
"Armenia"	51	1.3049	1.1885	1.1105	1.0733	1.0773	1.1147	1.1661	1.2159	1.2611	1.3023	1.3372	1.3687	1.3955	1.4195	1.4395	1.4572	1.4727
"Aruba"	533	1.4163	1.2943	1.2123	1.1744	1.1672	1.2023	1.2482	1.297	1.3363	1.3763	1.4094	1.4373	1.4626	1.4819	1.498	1.5131	1.5248
"Australia"	36	1.6459	1.5151	1.4243	1.3586	1.3294	1.3251	1.3332	1.3507	1.3698	1.392	1.4138	1.4348	1.4556	1.4743	1.4897	1.5027	1.5142
"Austria"	40	1.4088	1.4136	1.4237	1.4346	1.4463	1.4567	1.4683	1.4769	1.4865	1.4946	1.5026	1.5097	1.515	1.519	1.5238	1.5282	1.5321
"Azerbaijan"	31	2.0205	1.8676	1.747	1.6549	1.5876	1.5329	1.5008	1.4814	1.4738	1.4776	1.4842	1.4971	1.5089	1.5212	1.5331	1.5423	1.5532
"Bahamas"	44	1.6157	1.4859	1.3891	1.3253	1.2849	1.2706	1.2771	1.2927	1.3137	1.3367	1.3634	1.3842	1.4059	1.4274	1.447	1.4639	1.4793
"Bahrain"	48	1.7532	1.5728	1.431	1.3193	1.2303	1.1683	1.1307	1.1157	1.1204	1.1416	1.1757	1.2144	1.2538	1.2966	1.3328	1.3678	1.3956
"Bangladesh"	50	1.8432	1.6427	1.4863	1.359	1.2614	1.1839	1.1413	1.1198	1.1182	1.1375	1.1704	1.2114	1.2531	1.2961	1.339	1.3792	1.4103
"Barbados"	52	1.6899	1.6622	1.6445	1.635	1.6291	1.6253	1.6225	1.6193	1.6167	1.6167	1.6162	1.6154	1.6148	1.6139	1.6111	1.61	1.6105
"Belarus"	112	1.5239	1.5307	1.5418	1.5525	1.5646	1.5735	1.5837	1.5903	1.5983	1.6026	1.6076	1.6105	1.6135	1.6165	1.6193	1.6219	1.622
"Belgium"	56	1.7178	1.6925	1.6792	1.6714	1.6657	1.6615	1.6603	1.66	1.6593	1.6593	1.6584	1.6566	1.6541	1.6532	1.6513	1.6524	1.6517
"Belize"	84	2.2034	1.981	1.8181	1.6886	1.5832	1.4978	1.43	1.3765	1.3423	1.3142	1.2995	1.298	1.3058	1.3201	1.3363	1.3561	1.3771
"Benin"	204	4.1927	3.701	3.2831	2.9351	2.6595	2.4337	2.2538	2.1102	1.9913	1.8911	1.8049	1.7307	1.6661	1.6157	1.5766	1.5392	1.5153
"Bhutan"	64	1.6919	1.4895	1.333	1.2136	1.1243	1.0644	1.0359	1.0356	1.0592	1.1048	1.1542	1.2065	1.2566	1.306	1.3455	1.3844	1.4151
"Bolivia (Plurinational State of)"	68	2.5492	2.2785	2.0808	1.9306	1.8134	1.7144	1.6326	1.5656	1.5138	1.4732	1.4405	1.4186	1.4024	1.3935	1.3876	1.3882	1.393
"Bosnia and Herzegovina"	70	1.0375	0.9298	0.8772	0.8709	0.9196	0.9996	1.0726	1.1336	1.1872	1.2358	1.2735	1.3093	1.3429	1.3668	1.3873	1.4054	1.4237
"Botswana"	72	2.4125	2.1597	1.9707	1.8149	1.6877	1.5834	1.5036	1.4386	1.3899	1.3559	1.3354	1.3304	1.334	1.3483	1.365	1.3877	1.4093
"Brazil"	76	1.5319	1.3886	1.2843	1.2118	1.1686	1.1502	1.1605	1.1837	1.2158	1.2502	1.2856	1.3252	1.3595	1.3911	1.4167	1.4401	1.4607
"Brunei Darussalam"	96	1.5991	1.4537	1.3481	1.2686	1.2199	1.1881	1.1807	1.1947	1.2169	1.2466	1.2799	1.3105	1.3443	1.3766	1.4064	1.4328	1.4503
"Bulgaria"	100	1.4797	1.5008	1.5233	1.5436	1.5617	1.5784	1.5921	1.6037	1.6108	1.6178	1.6227	1.6273	1.6314	1.6349	1.6365	1.6399	1.6403
"Burkina Faso"	854	4.9272	4.3465	3.8236	3.3637	2.9885	2.6827	2.4461	2.2609	2.1109	1.9885	1.8896	1.8021	1.7344	1.6766	1.6286	1.5861	1.549
"Burundi"	108	5.3652	4.7864	4.253	3.7757	3.36	3.0123	2.7353	2.5063	2.3215	2.1685	2.0477	1.9391	1.8537	1.7842	1.7267	1.6754	1.6348
"Cabo Verde"	132	1.9308	1.7251	1.5757	1.4591	1.3696	1.3017	1.2525	1.2245	1.2156	1.2211	1.2365	1.2654	1.2961	1.3276	1.3617	1.393	1.4211
"Cambodia"	116	2.2551	2.0268	1.8653	1.7416	1.6406	1.5605	1.4916	1.445	1.4037	1.3787	1.3604	1.3479	1.3456	1.3504	1.3541	1.3636	1.3767
"Cameroon"	120	4.1519	3.6959	3.3108	2.9887	2.7162	2.5041	2.3256	2.1792	2.0494	1.9475	1.855	1.7786	1.7179	1.6647	1.6141	1.5755	1.5442
"Canada"	124	1.3595	1.2435	1.1683	1.1304	1.1344	1.1705	1.2152	1.2604	1.2991	1.3379	1.3703	1.3995	1.4239	1.447	1.4669	1.4826	1.4978
"Central African Republic"	140	3.6845	3.1576	2.7401	2.4195	2.1914	2.0202	1.8904	1.7872	1.6996	1.6392	1.5861	1.5417	1.507	1.4818	1.4601	1.4467	1.4407
"Chad"	148	5.4732	4.7674	4.123	3.5686	3.1129	2.7557	2.4824	2.2752	2.1031	1.9677	1.8652	1.7766	1.7041	1.6486	1.5962	1.5559	1.5261
"Channel Islands"	830	1.3772	1.3617	1.3567	1.3554	1.355	1.3587	1.3612	1.3659	1.3686	1.3703	1.3729	1.3753	1.3807	1.3842	1.387	1.3891	1.3895
"Chile"	152	1.5153	1.3917	1.3105	1.2594	1.2401	1.2478	1.2725	1.3058	1.343	1.3754	1.4034	1.4279	1.4525	1.4752	1.4904	1.5057	1.5184
"China"	156	1.478	1.4695	1.4699	1.4728	1.4767	1.4813	1.4874	1.4918	1.4963	1.5003	1.505	1.5088	1.5134	1.5164	1.5176	1.519	1.5233
"China, Hong Kong SAR"	344	1.179	1.2095	1.2431	1.2754	1.3055	1.3343	1.3594	1.3818	1.4018	1.4188	1.437	1.4509	1.464	1.4728	1.4823	1.4897	1.4979
"China, Macao SAR"	446	1.2124	1.2759	1.3349	1.388	1.4298	1.468	1.4983	1.5213	1.5433	1.5589	1.5736	1.5833	1.5935	1.5982	1.6056	1.6101	1.6167
"Colombia"	170	1.6125	1.4462	1.3129	1.2135	1.1452	1.1087	1.1038	1.1246	1.1645	1.2094	1.2536	1.2961	1.3372	1.377	1.4085	1.4377	1.4605
