"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	4.7843	4.3349	3.9688	3.6756	3.4261	3.2249	3.0571	2.9145	2.7886	2.6801	2.5831	2.5017	2.4276	2.3728	2.3342	2.3073	2.2891
"Albania"	8	1.9673	2.024	2.0615	2.091	2.1158	2.1338	2.1514	2.1689	2.183	2.1918	2.2043	2.2146	2.222	2.2276	2.239	2.2429	2.2475
"Algeria"	12	2.9871	2.9039	2.8296	2.7703	2.7166	2.6703	2.6251	2.5869	2.5516	2.5222	2.4998	2.4846	2.466	2.4545	2.4458	2.4394	2.4337
"Angola"	24	6.207	6.0192	5.8129	5.5979	5.3924	5.1796	4.9801	4.8011	4.6362	4.4767	4.3195	4.1906	4.0738	3.9677	3.8631	3.7627	3.6762
"Antigua and Barbuda"	28	2.3696	2.4022	2.4046	2.4048	2.3949	2.3911	2.3783	2.372	2.3616	2.3517	2.3448	2.3383	2.3345	2.3278	2.3248	2.3231	2.3199
"Argentina"	32	2.6196	2.6786	2.7012	2.7124	2.7084	2.692	2.6787	2.6519	2.6336	2.6083	2.588	2.5667	2.5407	2.5151	2.4944	2.4765	2.4505
"Armenia"	51	1.8139	1.8731	1.9186	1.9576	1.9888	2.0169	2.0407	2.0664	2.0865	2.1045	2.1195	2.1338	2.1467	2.1576	2.1702	2.1775	2.1891
"Aruba"	533	1.942	1.9822	2.014	2.0415	2.0643	2.0853	2.1044	2.1217	2.1378	2.152	2.1618	2.1699	2.1812	2.1893	2.201	2.2078	2.2177
"Australia"	36	2.195	2.2246	2.2367	2.2449	2.2467	2.2532	2.2539	2.2512	2.2501	2.2513	2.2534	2.2567	2.2589	2.2573	2.2623	2.2649	2.2664
"Austria"	40	1.7091	1.8262	1.9076	1.97	2.0187	2.0578	2.0931	2.1228	2.1459	2.1658	2.1835	2.2002	2.2135	2.2246	2.2348	2.247	2.2535
"Azerbaijan"	31	2.4703	2.4806	2.4737	2.4678	2.4612	2.452	2.4456	2.4363	2.4292	2.42	2.4177	2.4126	2.407	2.4028	2.3992	2.3979	2.392
"Bahamas"	44	2.1551	2.1916	2.2072	2.2188	2.2263	2.2312	2.2307	2.2295	2.2336	2.2347	2.236	2.241	2.2432	2.246	2.2483	2.2534	2.2577
"Bahrain"	48	2.3227	2.3286	2.3104	2.2893	2.2677	2.2472	2.2341	2.2214	2.2137	2.2081	2.2109	2.2111	2.2108	2.2162	2.2203	2.2259	2.2272
"Bangladesh"	50	2.4316	2.4161	2.3819	2.3423	2.3084	2.275	2.2502	2.2362	2.2248	2.2195	2.2213	2.2183	2.2223	2.2236	2.2274	2.2323	2.2335
"Barbados"	52	1.9718	2.0402	2.0859	2.1224	2.1518	2.1769	2.1968	2.2149	2.2295	2.2452	2.2538	2.266	2.2742	2.2822	2.2887	2.2928	2.302
"Belarus"	112	1.8257	1.9364	2.0129	2.0649	2.1119	2.1459	2.1766	2.1996	2.2194	2.24	2.2541	2.2651	2.2746	2.2835	2.2925	2.3001	2.3038
"Belgium"	56	2.0054	2.0767	2.1243	2.1591	2.1889	2.2112	2.2316	2.2486	2.2646	2.2748	2.2849	2.2912	2.3002	2.3105	2.313	2.3168	2.3267
"Belize"	84	2.8436	2.8325	2.789	2.7455	2.6958	2.6488	2.5989	2.5636	2.5169	2.4725	2.4321	2.4022	2.3716	2.3522	2.336	2.3191	2.3097
"Benin"	204	4.9636	4.8193	4.6477	4.4878	4.3378	4.2001	4.0688	3.9465	3.8366	3.7376	3.6456	3.5607	3.4743	3.3972	3.3329	3.2656	3.2054
"Bhutan"	64	2.2839	2.2653	2.2317	2.207	2.1848	2.1696	2.1685	2.1645	2.1687	2.169	2.1775	2.1826	2.1873	2.1911	2.2017	2.2048	2.209
"Bolivia (Plurinational State of)"	68	3.2481	3.23	3.182	3.1337	3.0849	3.0339	2.9833	2.9326	2.8899	2.8486	2.8024	2.7588	2.7212	2.6864	2.6474	2.6076	2.5679
"Bosnia and Herzegovina"	70	1.5218	1.621	1.7061	1.7745	1.8344	1.8839	1.9242	1.9581	1.9895	2.0168	2.0426	2.0666	2.0877	2.1056	2.1177	2.1347	2.1454
"Botswana"	72	3.0667	3.0129	2.9346	2.8612	2.8014	2.7343	2.6795	2.6166	2.5732	2.5141	2.4783	2.4413	2.4117	2.378	2.3592	2.3449	2.3287
"Brazil"	76	2.0739	2.1015	2.1123	2.1246	2.1284	2.1365	2.1427	2.1492	2.1612	2.168	2.1733	2.1835	2.1929	2.2024	2.2069	2.2097	2.2162
"Brunei Darussalam"	96	2.1517	2.1702	2.1735	2.1726	2.1769	2.1791	2.1786	2.1805	2.1852	2.1897	2.1939	2.1972	2.2024	2.2087	2.2171	2.2229	2.2257
"Bulgaria"	100	1.7781	1.8914	1.9752	2.0375	2.085	2.1247	2.1535	2.1781	2.1999	2.2182	2.2357	2.2463	2.2577	2.2672	2.275	2.2824	2.2898
"Burkina Faso"	854	5.6803	5.5091	5.3104	5.115	4.9422	4.759	4.5976	4.4403	4.3039	4.172	4.0509	3.9375	3.8402	3.7396	3.6537	3.5748	3.4842
"Burundi"	108	6.0829	5.897	5.6932	5.4988	5.3052	5.1147	4.9381	4.7731	4.62	4.48	4.3632	4.2394	4.1281	4.0215	3.9233	3.8291	3.7519
"Cabo Verde"	132	2.5532	2.5322	2.4888	2.4425	2.4017	2.3638	2.3301	2.3053	2.2889	2.2736	2.2659	2.2601	2.2546	2.2534	2.2532	2.2517	2.2548
"Cambodia"	116	2.9199	2.9266	2.8998	2.8637	2.8322	2.7872	2.747	2.7154	2.6732	2.6387	2.6031	2.5601	2.5264	2.4867	2.4657	2.4374	2.4138
"Cameroon"	120	4.9168	4.7792	4.6227	4.4728	4.3212	4.182	4.068	3.9474	3.8424	3.7399	3.6518	3.5753	3.4947	3.4188	3.3526	3.2876	3.2297
"Canada"	124	1.8763	1.9258	1.9628	2.0005	2.0281	2.0509	2.0742	2.0943	2.1096	2.1265	2.1419	2.1534	2.1668	2.1779	2.1882	2.1968	2.2074
"Central African Republic"	140	4.4934	4.3586	4.1905	4.0372	3.8836	3.7483	3.62	3.5133	3.4189	3.3275	3.2501	3.1811	3.1144	3.0594	2.9989	2.9485	2.8977
"Chad"	148	6.2352	5.9781	5.7262	5.4854	5.2476	5.019	4.8227	4.625	4.4505	4.2891	4.1502	4.0118	3.891	3.7819	3.6724	3.578	3.497
"Channel Islands"	830	1.6634	1.7553	1.8234	1.8823	1.9255	1.9656	2.002	2.0287	2.0576	2.0805	2.1021	2.1239	2.1437	2.1555	2.1726	2.1884	2.2007
"Chile"	152	2.047	2.0784	2.1002	2.1179	2.1297	2.1405	2.1521	2.1651	2.1737	2.1801	2.1901	2.2003	2.2085	2.2155	2.2219	2.2319	2.2378
"China"	156	1.7672	1.8647	1.931	1.9869	2.0299	2.0669	2.0954	2.1249	2.1438	2.1612	2.1783	2.1919	2.2047	2.2149	2.2251	2.2359	2.241
"China, Hong Kong SAR"	344	1.4804	1.6271	1.7369	1.8263	1.8945	1.9485	1.9948	2.036	2.0718	2.1023	2.1243	2.1437	2.1628	2.1831	2.1972	2.2121	2.2234
"China, Macao SAR"	446	1.533	1.713	1.8377	1.931	1.9985	2.0524	2.0984	2.1326	2.1635	2.1866	2.2047	2.2218	2.2387	2.2524	2.2661	2.2762	2.2807
"Colombia"	170	2.163	2.1774	2.1812	2.1761	2.1736	2.1779	2.1835	2.1825	2.1889	2.1904	2.1956	2.1978	2.2068	2.2131	2.2192	2.2228	2.2272
"Comoros"	174	4.6946	4.5565	4.4012	4.2535	4.1136	3.9898	3.8749	3.7607	3.6649	3.5654	3.4814	3.4114	3.3298	3.2705	3.1991	3.1444	3.0824
"Congo"	178	5.0899	4.9854	4.8534	4.7079	4.571	4.4417	4.317	4.2036	4.092	3.9915	3.8907	3.8097	3.7296	3.6548	3.5825	3.5207	3.4563
"Costa Rica"	188	2.0926	2.1168	2.1297	2.1378	2.1427	2.1499	2.1573	2.1647	2.1702	2.1765	2.1866	2.1958	2.2031	2.2125	2.2171	2.2253	2.2274
"Cote d'Ivoire"	384	5.2135	5.0953	4.9503	4.8058	4.6695	4.5419	4.4127	4.3134	4.2044	4.1016	4.011	3.9243	3.8354	3.7502	3.6857	3.6042	3.5337
"Croatia"	191	1.7826	1.8438	1.895	1.9387	1.9754	2.0058	2.0342	2.057	2.0749	2.0941	2.1088	2.1268	2.1447	2.1541	2.1703	2.178	2.1881
"Cuba"	192	1.8936	1.9445	1.9794	2.0113	2.036	2.0592	2.0791	2.0994	2.1157	2.1316	2.1401	2.1547	2.1643	2.1779	2.1849	2.1954	2.2046
"Curacao"	531	2.2746	2.3035	2.3155	2.319	2.3247	2.3257	2.3269	2.3286	2.3313	2.3339	2.3324	2.3379	2.3369	2.3397	2.3427	2.348	2.3519
"Cyprus"	196	1.7263	1.7944	1.8507	1.8986	1.9381	1.9704	2.0014	2.0293	2.0543	2.0742	2.0961	2.1102	2.1286	2.143	2.1565	2.1709	2.1786
"Czech Republic"	203	1.7166	1.8421	1.9293	1.9944	2.046	2.0885	2.1205	2.1489	2.1744	2.1922	2.2092	2.2238	2.2373	2.2485	2.2567	2.2619	2.2681
"Dem. People's Republic of Korea"	408	2.2685	2.2936	2.3034	2.301	2.298	2.2926	2.2854	2.2893	2.287	2.2889	2.2828	2.2861	2.2877	2.2831	2.2895	2.2919	2.2883
"Democratic Republic of the Congo"	180	6.1001	5.8774	5.6419	5.4029	5.1807	4.9669	4.7651	4.5802	4.4188	4.258	4.1204	3.9845	3.8649	3.753	3.66	3.5717	3.4913
"Denmark"	208	1.934	2.0089	2.0623	2.1016	2.1346	2.1586	2.1811	2.1961	2.2119	2.2228	2.2325	2.2427	2.253	2.2572	2.2622	2.2696	2.2707
"Djibouti"	262	3.4335	3.3506	3.2673	3.1765	3.0944	3.0173	2.946	2.8791	2.8305	2.7763	2.7224	2.6743	2.6239	2.5779	2.539	2.4935	2.4583
"Dominican Republic"	214	2.7396	2.7353	2.7093	2.6615	2.6095	2.5651	2.5209	2.4711	2.4248	2.39	2.3554	2.3305	2.3173	2.3052	2.2976	2.2872	2.2837
"Ecuador"	218	2.8135	2.8198	2.7966	2.7671	2.7261	2.68	2.6297	2.5912	2.5531	2.5153	2.4802	2.4433	2.4242	2.397	2.3688	2.3522	2.3364
"Egypt"	818	3.5832	3.5458	3.4778	3.4114	3.3484	3.2781	3.2244	3.1671	3.1034	3.0539	3.0017	2.9637	2.9279	2.8819	2.839	2.793	2.7568
"El Salvador"	222	2.211	2.2238	2.2202	2.2111	2.1995	2.1913	2.1871	2.188	2.1869	2.1902	2.1936	2.1987	2.1967	2.2024	2.2099	2.2141	2.2173
