"country"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"World"	900	2.220914916	2.026187125	1.886467417	1.849117978	1.81758713	1.795950155	1.777331417	1.753555111	1.72193843	1.690699853	1.662661188	1.638206749	1.615198973	1.591072576	1.56585701	1.539325908	1.514458573
"More developed regions"	901	1.441898776	1.320117025	1.250718572	1.273196751	1.291768714	1.308734295	1.323934127	1.336304772	1.345361707	1.351820641	1.357802215	1.362902912	1.367757376	1.372371097	1.376658744	1.379497917	1.381485709
"Less developed regions"	902	2.332994869	2.121491023	1.970114295	1.922955079	1.881521251	1.851571153	1.826839666	1.798075554	1.761989351	1.727330819	1.695930113	1.667760339	1.640892577	1.613279791	1.585175373	1.5560648	1.528722035
"Least developed countries"	941	3.729502851	3.325983156	3.012735307	2.833915524	2.68341033	2.551559133	2.433268537	2.324780923	2.22372036	2.131739363	2.047265186	1.970846435	1.898317361	1.830693776	1.768886574	1.709971525	1.656310697
"Other less developed countries"	934	2.065739812	1.862641011	1.71920754	1.679747743	1.64563395	1.624522335	1.608744705	1.588886986	1.56283967	1.540095923	1.522194114	1.507713695	1.495710577	1.482861087	1.46907109	1.454623378	1.441384611
"Less developed regions, excluding China"	948	2.596222023	2.330367974	2.133665607	2.052842718	1.987478222	1.937874303	1.895383517	1.853790913	1.81183705	1.77187906	1.73475649	1.700888556	1.668730711	1.636881639	1.605674224	1.574040053	1.544142118
"High-income countries"	1503	1.506957533	1.369917566	1.286979843	1.300100106	1.309818845	1.318367241	1.326957416	1.333317748	1.337622091	1.34164652	1.346460387	1.351167486	1.355873014	1.360398871	1.364515029	1.367238083	1.369419568
"Middle-income countries"	1517	2.113872277	1.909448728	1.762843124	1.721087092	1.686615674	1.665709009	1.650543676	1.631642026	1.606066342	1.582755187	1.564024461	1.548613731	1.53526946	1.520549572	1.504798623	1.487872886	1.47188795
"Upper-middle-income countries"	1502	1.604298125	1.439726277	1.34003295	1.351731209	1.366268274	1.384133712	1.405317933	1.420380474	1.423490109	1.424850242	1.427566523	1.431911279	1.435350806	1.434110768	1.429191395	1.419667576	1.41036716
"Lower-middle-income countries"	1501	2.500106676	2.225252777	2.019918856	1.931981309	1.860175241	1.805360659	1.758932853	1.717524197	1.680479661	1.647857002	1.619693086	1.594701966	1.573070906	1.552391324	1.532847496	1.513538051	1.494890407
"Low-income countries"	1500	4.270125108	3.779976178	3.387019329	3.138780803	2.92962902	2.747111845	2.585033494	2.440235279	2.310020257	2.195996572	2.093954888	2.003906602	1.920325249	1.844533572	1.776173991	1.712327384	1.655192026
"Sub-Saharan Africa"	947	4.498130353	4.022227638	3.627328668	3.363182258	3.129586743	2.921874726	2.736447719	2.571016076	2.423144097	2.292145338	2.176872556	2.074900736	1.982019773	1.89825484	1.823161618	1.754302642	1.69228748
"Africa"	903	4.163904774	3.741515301	3.392294067	3.164544699	2.960512889	2.779441371	2.619126364	2.475236177	2.344249857	2.225614809	2.119951903	2.026128386	1.940965321	1.86384398	1.794500622	1.730118205	1.671992469
"Eastern Africa"	910	4.273569561	3.758187626	3.350378014	3.091261207	2.874678456	2.689244747	2.528278295	2.386462455	2.260483573	2.151354846	2.056546905	1.973006979	1.89678438	1.829030583	1.768232786	1.711535128	1.660639062
"Burundi"	108	5.4081	4.8642	4.3918	4.0485	3.7327	3.4459	3.1948	2.9753	2.7785	2.604	2.4543	2.322	2.2036	2.0958	2.002	1.9077	1.831
"Comoros"	174	3.9831	3.5122	3.133	2.8932	2.6893	2.5142	2.3605	2.2296	2.1086	2.002	1.9046	1.8158	1.7334	1.66	1.597	1.5424	1.4972
"Djibouti"	262	2.7362	2.3417	2.0541	1.903	1.7795	1.6765	1.5873	1.5159	1.458	1.4115	1.3765	1.3503	1.33	1.3174	1.3113	1.3062	1.3051
"Eritrea"	232	3.7749	3.2967	2.9142	2.6776	2.4822	2.3142	2.1707	2.0508	1.942	1.8414	1.7553	1.6755	1.6093	1.5514	1.5015	1.4639	1.4326
"Ethiopia"	231	3.7401	3.0946	2.6124	2.3212	2.1019	1.9267	1.7833	1.6662	1.5666	1.4866	1.425	1.3778	1.342	1.3181	1.3011	1.2911	1.2865
"Kenya"	404	3.8501	3.4089	3.0593	2.8434	2.6571	2.4964	2.3506	2.2214	2.1018	1.9916	1.8926	1.8014	1.7139	1.6389	1.5732	1.5178	1.4724
"Madagascar"	450	3.9582	3.544	3.2122	3.0104	2.8292	2.6694	2.5269	2.4018	2.2868	2.1807	2.0868	1.9977	1.9147	1.8354	1.7646	1.7001	1.6377
"Malawi"	454	4.6268	4.1392	3.731	3.4588	3.2161	3.0063	2.8195	2.6567	2.5095	2.3786	2.2578	2.151	2.051	1.9608	1.8773	1.7984	1.7273
"Mauritius"	480	1.1903	1.0315	0.9685	1.0085	1.0458	1.0801	1.1123	1.1422	1.1677	1.1901	1.2108	1.2287	1.244	1.2561	1.2688	1.2794	1.2888
"Mayotte"	175	3.4804	3.0261	2.6751	2.4634	2.2824	2.1232	1.9809	1.8556	1.741	1.6429	1.5577	1.4892	1.4325	1.393	1.3644	1.3409	1.3259
"Mozambique"	508	4.87	4.3896	3.9677	3.661	3.3785	3.1214	2.8905	2.6863	2.5062	2.3539	2.2195	2.1047	2.0037	1.9138	1.8326	1.7581	1.694
"Reunion"	638	1.8711	1.6193	1.4518	1.4003	1.3678	1.3466	1.335	1.3281	1.3245	1.3238	1.3247	1.3253	1.3264	1.3308	1.3335	1.336	1.3413
"Rwanda"	646	3.3673	2.8664	2.4817	2.2453	2.0447	1.8652	1.711	1.5764	1.4661	1.3774	1.3124	1.2652	1.2342	1.2203	1.2156	1.2185	1.2265
"Seychelles"	690	1.9643	1.7133	1.5302	1.4671	1.4204	1.3888	1.3649	1.3527	1.3433	1.3383	1.3367	1.336	1.3373	1.3391	1.3411	1.3429	1.3467
"Somalia"	706	5.871	5.2545	4.7152	4.3003	3.9281	3.5897	3.2913	3.0356	2.8138	2.6182	2.4537	2.3074	2.1759	2.0606	1.9559	1.8632	1.7783
"South Sudan"	728	4.4833	3.9481	3.5024	3.1959	2.9308	2.7013	2.511	2.3494	2.2068	2.0841	1.977	1.882	1.7928	1.7146	1.6489	1.5861	1.5368
"Uganda"	800	5.2069	4.6249	4.1187	3.7475	3.4181	3.1227	2.871	2.6551	2.4696	2.3135	2.1733	2.0586	1.9463	1.852	1.7691	1.6924	1.6249
"United Republic of Tanzania"	834	4.6702	4.2132	3.8294	3.566	3.3266	3.1104	2.9226	2.7522	2.6001	2.4661	2.3484	2.24	2.1441	2.0539	1.972	1.8948	1.8234
"Zambia"	894	4.892	4.4542	4.0894	3.8416	3.6177	3.4143	3.2313	3.0624	2.9122	2.7716	2.6477	2.5297	2.4265	2.3277	2.2391	2.1561	2.0786
"Zimbabwe"	716	3.3964	2.9447	2.6	2.3942	2.22	2.0701	1.9327	1.8132	1.7061	1.6157	1.5434	1.4854	1.439	1.4042	1.3781	1.3592	1.3476
"Middle Africa"	911	5.133927001	4.572071449	4.087021035	3.733005729	3.415267392	3.131889731	2.884652741	2.67428666	2.490076174	2.3320418	2.193304021	2.074032619	1.966307411	1.869680585	1.783306095	1.706780541	1.640070771
"Angola"	24	5.5396	4.9785	4.4786	4.0999	3.7446	3.4248	3.1355	2.8846	2.6674	2.4805	2.3223	2.1857	2.0652	1.9573	1.8648	1.7804	1.7041
"Cameroon"	120	4.2057	3.7321	3.3405	3.0845	2.8663	2.672	2.5065	2.3615	2.2365	2.1237	2.0219	1.9269	1.8449	1.7695	1.6972	1.6311	1.5784
"Central African Republic"	140	3.7657	3.2605	2.8468	2.5822	2.3703	2.1957	2.0518	1.9325	1.8271	1.7387	1.661	1.5934	1.5393	1.4923	1.4571	1.4256	1.4011
"Chad"	148	5.5436	4.9042	4.3469	3.9308	3.5641	3.2393	2.9606	2.7242	2.525	2.3566	2.2093	2.0826	1.9673	1.863	1.768	1.6881	1.6195
"Congo"	178	4.3945	3.9609	3.5968	3.3592	3.1482	2.9578	2.7869	2.6381	2.5039	2.3892	2.281	2.1851	2.0959	2.0135	1.9387	1.8632	1.7955
"Dem. Republic of the Congo"	180	5.4143	4.8002	4.2678	3.8719	3.5183	3.2042	2.9337	2.7088	2.5123	2.3467	2.2012	2.0786	1.9664	1.8665	1.7772	1.6995	1.6319
"Equatorial Guinea"	226	4.2698	3.7026	3.2216	2.8905	2.6125	2.3871	2.2032	2.0524	1.9292	1.8202	1.7276	1.6489	1.5831	1.5281	1.4832	1.4467	1.4189
"Gabon"	266	3.4283	3.0002	2.6627	2.4663	2.3008	2.1593	2.042	1.9407	1.845	1.7641	1.6914	1.6281	1.5688	1.5215	1.4826	1.4507	1.4252
"Sao Tome and Principe"	678	4.1057	3.6683	3.3077	3.0755	2.875	2.6936	2.5381	2.4037	2.2846	2.1752	2.0774	1.9889	1.9085	1.8295	1.7613	1.6983	1.6403
"Northern Africa"	912	2.800007955	2.484828872	2.246738808	2.12355823	2.011133534	1.918538487	1.850985156	1.79787199	1.744233264	1.684015007	1.627016295	1.579189769	1.543732802	1.512966026	1.48749889	1.459241481	1.435190648
"Algeria"	12	2.3676	2.0075	1.7583	1.6465	1.5646	1.5026	1.4581	1.4295	1.4088	1.393	1.3828	1.3772	1.3729	1.3695	1.3704	1.3686	1.3691
"Egypt"	818	2.9118	2.5758	2.3203	2.1886	2.0754	1.9748	1.8793	1.7953	1.7208	1.6516	1.5938	1.543	1.5041	1.4693	1.4427	1.4204	1.4029
"Libya"	434	2.065	1.7437	1.5127	1.4109	1.3395	1.292	1.2677	1.2576	1.2554	1.2581	1.2648	1.2706	1.2779	1.2851	1.2942	1.3	1.3079
"Morocco"	504	2.1313	1.8427	1.632	1.5433	1.4727	1.4188	1.3772	1.3499	1.3319	1.3203	1.3145	1.3119	1.311	1.3127	1.316	1.3175	1.3211
"Sudan"	729	3.8784	3.4338	3.0747	2.8498	2.6563	2.49	2.345	2.2197	2.1082	2.0073	1.916	1.8327	1.7561	1.6852	1.629	1.5738	1.5287
"Tunisia"	788	1.8197	1.5905	1.4296	1.3854	1.3569	1.3395	1.3289	1.3237	1.323	1.3223	1.3235	1.3262	1.3294	1.3333	1.3361	1.3393	1.3428
"Western Sahara"	732	1.8142	1.5439	1.3489	1.2776	1.229	1.1975	1.1839	1.1838	1.1879	1.1984	1.2103	1.2215	1.2348	1.2457	1.2579	1.2676	1.2769
"Southern Africa"	913	2.130836477	1.866743844	1.672431569	1.590988621	1.522953326	1.467180486	1.422815087	1.38716939	1.360411352	1.339863403	1.325744271	1.316578187	1.310316951	1.306991692	1.305191047	1.304121842	1.306343623
"Botswana"	72	2.4217	2.0931	1.8454	1.7243	1.6215	1.5347	1.4652	1.4135	1.3742	1.3444	1.3241	1.3121	1.3058	1.3023	1.3037	1.3049	1.3073
"Lesotho"	426	2.7616	2.4069	2.1439	2.0096	1.8975	1.7979	1.7112	1.6358	1.5723	1.5165	1.4718	1.4344	1.4061	1.3831	1.3668	1.3535	1.3455
"Namibia"	516	3.0608	2.6732	2.3759	2.2121	2.0716	1.9486	1.8406	1.7449	1.6624	1.5855	1.5218	1.4735	1.4356	1.407	1.3843	1.366	1.352
